종목코드,최고가,최저가,수익률(1달),수익률(3달),수익률(6달),수익률(1년),발행주식수,시가총액,업종명,액면가,자본금
453340,"14,000","10,700",+0.36,+1.71,-8.96,-,"33,880,914","3,822",종합 소매업,500,16940457000
319400,"5,090","2,760",-11.80,-21.33,-29.27,+3.09,"117,437,072","3,335",일반 목적용 기계 제조업,100,11743707200
307950,"240,000","93,600",-17.52,+10.24,+25.53,+34.41,"27,423,982","42,206",소프트웨어 개발 및 공급업,500,13711991000
227840,"12,300","10,050",-3.77,-7.18,-7.93,+0.69,"9,100,836",930,음·식료품 및 담배 도매업,5000,45504180000
126560,"3,380","2,425",+9.74,+27.55,+5.63,+31.01,"110,202,945","3,725",전기 통신업,500,55101472500
138360,"2,240",721,-12.65,-35.38,-41.67,-67.63,"34,611,984",251,특수 목적용 기계 제조업,500,17305992000
111110,"8,950","6,850",+0.37,+2.27,+7.00,+16.88,"9,108,009",790,봉제의복 제조업,500,5532872000
378850,"4,985","3,455",+2.77,-8.96,-12.40,+0.13,"18,993,623",705,자동차 신품 부품 제조업,500,9496811500
241590,"11,030","7,090",+5.44,-4.22,+4.88,-12.35,"60,589,276","4,817",신발 및 신발 부분품 제조업,500,30294638000
126640,"2,080","1,440",-6.16,-11.61,-12.76,-1.09,"36,373,887",559,자동차 신품 부품 제조업,100,3637388700
133820,"2,910","1,158",-18.24,-42.08,-36.38,-45.83,"29,918,118",350,1차 철강 제조업,500,16234059000
127980,"20,250","7,160",-11.63,-38.66,-44.16,-,"11,840,684",855,전자부품 제조업,100,1184068400
298040,"203,000","49,050",+3.29,+38.81,+123.41,+254.03,"9,324,548","16,374","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",5000,46622740000
298050,"497,000","319,000",-10.96,-18.63,-10.38,+9.73,"4,479,948","15,657",화학섬유 제조업,5000,22399740000
298020,"470,000","261,500",-7.39,-4.26,-13.98,+15.81,"4,327,682","14,108",화학섬유 제조업,5000,21638410000
298000,"159,100","80,800",+1.04,+7.79,-18.05,-22.83,"3,791,811","2,782",기초 화학물질 제조업,5000,15950630000
290270,"5,390","3,720",-6.57,-8.38,-7.37,-8.61,"9,607,672",362,소프트웨어 개발 및 공급업,500,4803836000
353190,"1,377",967,-7.76,-11.88,-2.28,-11.48,"39,378,420",389,기타 식품 제조업,100,3937842000
192410,"1,135",392,-8.47,-20.16,-38.27,-57.36,"108,796,360",435,통신 및 방송 장비 제조업,200,21759272000
205470,"5,670","1,945",-14.78,-5.68,-33.71,-60.73,"129,375,009","2,685",의료용품 및 기타 의약 관련제품 제조업,100,12968848900
115160,"4,395","2,760",-13.21,-19.53,-32.60,-22.03,"43,970,124","1,214",영상 및 음향기기 제조업,500,21985062000
200670,"43,000","20,250",-4.79,+1.91,+24.78,+67.07,"11,124,569","3,866",의약품 제조업,500,5562284500
212310,"4,595","2,110",-2.97,+26.19,+30.78,-20.40,"7,130,704",245,의료용 기기 제조업,500,3418685500
215090,"1,505","1,505",+0.00,+0.00,+0.00,+0.00,"80,294,434","1,208","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",100,8029443400
263920,"1,615",992,-4.92,+8.98,-26.24,+5.16,"49,045,134",560,그외 기타 제품 제조업,500,24522567000
243070,"47,450","28,100",-11.56,+23.29,+19.47,+22.31,"11,979,665","4,630",의약품 제조업,500,5989832500
145020,"163,500","100,800",+10.88,+34.82,+24.42,+24.86,"12,385,455","17,166",기초 의약물질 및 생물학적 제제 제조업,500,6292727500
189980,"3,105","1,984",-10.43,-18.69,-23.55,-21.58,"40,137,827",796,비알코올음료 및 얼음 제조업,100,4013782700
238490,"8,520","5,740",-6.34,-10.84,-8.72,-1.37,"11,312,236",652,특수 목적용 기계 제조업,500,5656118000
