회사명,corp_code,stock_code,연도,ESG,재무제표,부채총계,영업이익,법인세차감전 순이익
LX하우시스,759513,108670,2022,A,"2,483,729,000,000","1,703,786,000,000","14,940,000,000","-105,943,000,000"
코오롱인더,795135,120110,2022,B+,"6,003,463,015,992","3,270,361,413,054","242,496,098,882","169,697,570,795"
한미약품,828497,128940,2022,B+,"1,924,585,730,838","915,359,048,755","158,090,311,455","121,012,526,736"
이마트,872984,139480,2022,A,"33,201,721,508,714","19,718,359,591,026","135,651,681,895","1,252,483,876,283"
삼양사,896285,145990,2022,B+,"2,949,649,000,000","1,418,659,000,000","82,016,000,000","97,281,000,000"
동아에스티,956930,170900,2022,A,"1,157,724,933,604","467,613,930,767","16,672,741,081","17,516,003,132"
한진칼,983040,180640,2022,A,"3,915,077,621,174","1,339,020,434,490","14,487,192,387","438,303,692,552"
종근당,992871,185750,2022,B+,"1,124,882,797,791","503,593,995,766","109,906,061,531","97,165,066,944"
코스맥스,1009789,192820,2022,B,"1,396,450,504,662","952,203,952,001","53,100,853,848","6,169,680,858"
해성디에스,1032413,195870,2022,B+,"659,613,821,545","212,318,527,504","204,416,060,360","205,309,781,207"
서연이화,1036446,200880,2022,B+,"1,930,332,276,171","1,173,445,901,645","150,682,128,141","116,258,303,926"
삼성바이오로직스,877059,207940,2022,A,"16,582,050,258,486","7,597,575,863,329","983,627,394,377","1,009,024,573,715"
SK디앤디,508344,210980,2022,A,"2,191,576,214,447","1,494,509,955,164","64,346,246,785","113,722,926,342"
한솔제지,1060744,213500,2022,B+,"2,210,015,517,155","1,467,471,503,690","130,225,532,966","95,828,130,869"
이노션,565154,214320,2022,B+,"2,290,142,554,591","1,416,175,662,135","136,891,845,495","142,921,691,148"
일동제약,1168383,249420,2022,B,"655,810,213,933","457,585,976,912","-73,481,142,189","-119,823,395,577"
경동도시가스,1208885,267290,2022,B,"1,067,615,033,035","672,626,336,234","25,271,267,744","31,034,292,001"
오리온,1238169,271560,2022,A,"3,371,683,914,220","732,455,081,520","466,654,503,027","486,728,116,441"
한화시스템,339391,272210,2022,A,"3,945,627,700,263","1,926,675,685,540","24,022,201,122","-57,019,441,190"
BGF리테일,1263022,282330,2022,A,"2,946,235,271,626","1,983,607,627,851","252,407,573,570","254,068,774,008"
SK케미칼,1267170,285130,2022,A+,"3,945,682,879,744","1,236,777,050,588","230,480,673,367","236,700,717,561"
롯데정보통신,1262032,286940,2022,A,"871,931,521,611","417,980,301,556","34,251,438,232","36,254,944,453"
효성화학,1316236,298000,2022,A,"3,131,118,899,043","3,016,501,814,422","-336,727,239,866","-448,250,891,421"
효성티앤씨,1316227,298020,2022,A,"4,319,879,312,472","2,804,355,654,281","123,593,507,716","30,658,603,776"
효성중공업,1316245,298040,2022,A,"4,693,470,608,273","3,590,259,543,651","143,248,629,974","59,841,661,132"
효성첨단소재,1316254,298050,2022,A,"2,934,713,477,994","2,135,155,968,289","315,070,313,327","213,162,004,331"
현대오토에버,362441,307950,2022,B+,"2,619,436,326,622","1,129,055,501,093","142,362,193,871","154,786,545,251"
하림지주,148364,3380,2022,C,"13,268,988,298,801","8,209,604,806,659","941,306,774,707","616,005,224,415"
CJ ENM,265324,35760,2022,B+,"10,332,246,645,583","5,987,918,870,682","137,375,904,912","-327,580,418,493"
케이티알파,260958,36030,2022,B+,"407,835,297,144","176,685,884,361","15,223,887,429","9,894,682,747"
현대에버다임,228536,41440,2022,A,"292,346,827,519","113,418,150,237","15,696,393,563","15,686,285,793"
CJ프레시웨이,127954,51500,2022,A,"1,484,726,893,096","1,080,671,194,761","97,840,086,516","68,875,818,033"
