,corp_name,esg,fin_state,corp_code,stock_code,year
397,대창단조,B,"247,240,845,931",00112679,015230,2020
398,태경산업,B,"541,292,144,059",00153339,015890,2020
399,대현,B,"252,923,294,206",00113614,016090,2020
400,한세예스24홀딩스,B,"1,840,012,735,335",00161976,016450,2020
401,환인제약,B,"329,559,588,261",00166573,016580,2020
402,대성홀딩스,B,"1,181,125,454,544",00108940,016710,2020
403,두올,B,"405,736,362,822",00119672,016740,2020
404,퍼시스,B,"498,942,806,587",00161709,016800,2020
405,웅진,B,"1,087,018,285,071",00143651,016880,2020
406,명문제약,B,"243,025,042,909",00121039,017180,2020
407,우신시스템,B,"324,516,701,631",00142883,017370,2020
408,광전자,B,"243,369,782,680",00152729,017900,2020
409,조일알미늄,B,"274,904,169,512",00149239,018470,2020
410,신풍제약,B,"492,915,057,237",00137359,019170,2020
411,티에이치엔,B,"279,629,755,572",00118965,019180,2020
412,키다리스튜디오,B,"48,155,283,189",00140131,020120,2020
413,일진디스플,B,"113,893,785,695",00198697,020760,2020
414,서원,B,"225,954,131,352",00131197,021050,2020
415,MH에탄올,B,"449,679,365,546",00121534,023150,2020
416,한국종합기술,B,"332,119,486,789",00159500,023350,2020
417,대원화성,B,"129,796,348,783",00112022,024890,2020
418,에스제이엠홀딩스,B,"308,348,207,824",00181943,025530,2020
419,이구산업,B,"271,665,261,199",00145464,025820,2020
420,남해화학,B,"589,444,547,288",00107987,025860,2020
421,세하,B,"189,544,428,072",00133706,027970,2020
422,케이씨,B,"873,398,777,467",00209780,029460,2020
423,롯데관광개발,B,"1,198,450,486,219",00231372,032350,2020
424,유나이티드,B,"353,433,062,527",00158963,033270,2020
425,세종공업,B,"1,158,750,683,420",00134510,033530,2020
426,무학,B,"598,757,759,430",00121543,033920,2020
427,SBS,B,"1,169,090,150,715",00130772,034120,2020
428,상신브레이크,B,"440,014,845,389",00129642,041650,2020
429,유니온머티리얼,B,"184,455,804,956",00369833,047400,2020
430,우진플라임,B,"267,621,933,339",00303217,049800,2020
431,한전KPS,B,"1,349,869,091,450",00159218,051600,2020
432,다스코,B,"249,543,946,307",00353878,058730,2020
433,SNT모티브,B,"1,092,927,846,387",00398792,064960,2020
434,대호에이엘,B,"101,175,472,248",00428729,069460,2020
435,하이스틸,B,"239,658,334,649",00435312,071090,2020
436,코아스,B,"73,236,024,489",00210856,071950,2020
437,STX중공업,B,"467,363,345,753",00406046,071970,2020
438,유니퀘스트,B,"379,977,750,281",00414601,077500,2020
439,그린케미칼,B,"176,839,792,647",00454946,083420,2020
440,대한제강,B,"944,860,967,703",00113225,084010,2020
441,동양고속,B,"167,885,900,251",00540641,084670,2020
442,티비에이치글로벌,B,"175,534,400,772",00409672,084870,2020
443,평화산업,B,"203,154,749,775",00573579,090080,2020
444,티웨이항공,B,"705,789,065,275",00671376,091810,2020
445,KEC,B,"368,345,953,226",00589127,092220,2020
446,KPX홀딩스,B,"1,698,659,220,590",00587466,092230,2020
447,동양피스톤,B,"346,056,812,079",00117726,092780,2020
448,LF,B,"2,479,439,883,815",00593032,093050,2020
449,AJ네트웍스,B,"1,588,170,350,000",00365387,095570,2020
450,JW홀딩스,B,"1,113,573,849,001",00632304,096760,2020
451,비상교육,B,"263,230,581,094",00520887,100220,2020
