corp_name,esg,fin_state,corp_code,stock_code
한세실업,B,"1,021,055,617,765",00728638,105630
우진,B,"240,174,509,124",00173944,105840
컨버즈,B,"32,146,507,443",00753643,109070
씨에스윈드,B,"880,657,688,570",00670340,112610
대성에너지,B,"702,116,962,104",00787376,117580
아이마켓코리아,B,"1,110,821,080,034",00360142,122900
한국화장품,B,"75,378,061,752",00823429,123690
에스제이엠,B,"224,918,994,878",00815369,123700
인터지스,B,"385,984,504,452",00151368,129260
화인베스틸,B,"177,774,671,321",00661847,133820
핸즈코퍼레이션,B,"844,136,126,604",00119140,143210
덴티움,B,"510,235,858,597",00526599,145720
DSR,B,"252,937,447,385",00110608,155660
더블유게임즈,B,"1,023,166,745,928",01010110,192080
쿠쿠홀딩스,B,"921,534,394,518",00132354,192400
디와이파워,B,"287,809,530,580",01059605,210540
LS전선아시아,B,"416,558,419,110",01093007,229640
JW생명과학,B,"214,402,015,696",00225706,234080
샘표식품,B,"268,629,470,251",01167056,248170
크라운제과,B,"327,040,458,032",01205329,264900
케이씨텍,B,"407,295,413,417",01261893,281820
쿠쿠홈시스,B,"704,890,676,288",01267684,284740
하나제약,B,"276,579,303,713",00248974,293480
HDC현대산업개발,B,"6,116,097,910,011",01310269,294870
자이에스앤디,B,"413,286,395,055",00367844,317400
솔루스첨단소재,B,"841,168,486,543",01412822,336370
포스코엠텍,B,"130,303,408,273",00128111,009520
오리콤,B,"172,323,658,779",00141671,010470
원익홀딩스,B,"1,650,665,108,747",00216647,030530
다우데이타,B,"38,997,606,367,967",00238782,032190
케이엠더블유,B,"391,104,209,515",00226352,032500
파라다이스,B,"3,313,512,458,993",00171265,034230
JYP Ent.,B,"223,949,702,666",00258689,035900
솔브레인홀딩스,B,"1,339,377,713,537",00247975,036830
삼표시멘트,B,"1,349,298,506,487",00239639,038500
에스엠,B,"1,068,872,535,478",00260930,041510
코미팜,B,"121,912,527,790",00187415,041960
SBS콘텐츠허브,B,"195,284,638,326",00280688,046140
인터플렉스,B,"327,916,556,709",00369170,051370
한국정보인증,B,"118,767,768,657",00306454,053300
이니텍,B,"256,870,838,502",00353610,053350
신화인터텍,B,"176,253,207,787",00228350,056700
KT서브마린,B,"116,812,532,468",00225742,060370
드림어스컴퍼니,B,"172,443,439,357",00364467,060570
KH바텍,B,"294,887,205,322",00378628,060720
티씨케이,B,"308,578,502,890",00245472,064760
아프리카TV,B,"292,037,611,328",00399694,067160
멀티캠퍼스,B,"193,275,586,655",00425351,067280
웹젠,B,"542,700,243,820",00405320,069080
국일제지,B,"127,319,695,801",00104573,078130
컴투스,B,"1,049,132,498,425",00476498,078340
대주전자재료,B,"206,009,387,091",00177816,078600
유진테크,B,"293,959,661,022",00531014,084370
헬릭스미스,B,"478,137,237,730",00359395,084990
파트론,B,"605,213,735,919",00490151,091700
테스,B,"274,869,980,924",00524421,095610
코오롱생명과학,B,"248,337,693,603",00525642,102940
위메이드,B,"321,988,256,236",00444329,112040
와이지엔터테인먼트,B,"542,817,503,814",00613318,122870
피엔티,B,"435,428,127,687",00612294,137400
휴젤,B,"956,344,165,833",00888347,145020
KG ETS,B,"2,558,371,875,406",00366137,151860
콜마비앤에이치,B,"507,956,738,744",01032404,200130
클래시스,B,"137,526,116,368",01061327,214150
파마리서치,B,"319,831,469,290",00970453,214450
골프존,B,"367,293,667,416",01067516,215000
인크로스,B,"179,307,690,932",00819073,216050
휴온스,B,"416,501,439,509",01159853,243070
에코프로비엠,B,"798,986,124,781",01160363,247540
스튜디오드래곤,B,"757,299,504,134",01168684,253450
펄어비스,B,"897,191,642,084",01152470,263750
이녹스첨단소재,B,"318,623,157,887",01237540,272290
와이즈버즈,B,"66,629,732,793",01236532,273060
천보,B,"260,701,295,701",00897752,278280
에이비엘바이오,B,"99,894,442,393",01256864,298380
KR모터스,C,"155,873,460,967",00112378,000040
경방,C,"1,264,902,051,181",00101628,000050
성창기업지주,C,"707,392,786,834",00133335,000180
대유플러스,C,"473,118,284,651",00126089,000300
영풍,C,"5,000,855,951,482",00141307,000670
LS네트웍스,C,"1,228,401,794,045",00104698,000680
이화산업,C,"283,394,472,679",00145686,000760
보해양조,C,"149,117,625,674",00123541,000890
전방,C,"373,432,831,320",00147222,000950
한국주철관공업,C,"357,526,156,760",00159573,000970
대한방직,C,"213,793,932,924",00112970,001070
만호제강,C,"249,750,178,792",00120872,001080
