corp_code,부채총계,year,영업이익,법인세차감전 순이익
152880,"2,270,737,072,633",2022,"166,687,315,258","162,131,408,382"
132725,"33,383,212,096",2022,"1,904,947,045","2,530,076,201"
111810,"879,409,305,644",2022,"207,334,242,877","154,932,220,132"
118275,"111,206,586,935",2022,"11,153,444,246","15,189,669,527"
111999,"204,784,866,664",2022,"43,006,376,510","38,722,020,221"
163673,"1,629,209,000,000",2022,"37,130,000,000","17,894,000,000"
164706,"94,604,146,368",2022,"7,970,050,715","5,669,707,339"
133812,"277,495,007,259",2022,"45,146,617,926","65,902,605,150"
109806,"140,597,279,518",2022,"-6,978,041,314","-8,058,464,687"
129235,"103,072,772,485",2022,"3,605,485,104","-16,565,360,314"
133858,"430,957,932,473",2022,"81,090,384,601","70,432,022,975"
113492,"419,699,356,872",2022,"3,754,759,313","-2,675,629,050"
172936,"82,125,521,241",2022,"22,590,867,293","28,752,143,279"
148920,"216,375,249,483",2022,"-1,615,834,521","-10,204,999,539"
129989,"200,117,019,634",2022,"32,475,176,321","35,572,341,513"
163716,"90,132,832,628",2022,"9,846,444,821","3,681,179,259"
168331,"65,952,316,049",2022,"17,033,935,517","8,470,363,942"
121288,"111,823,225,016",2022,"6,277,196,330","3,879,112,788"
160302,"409,208,860,809",2022,"41,427,923,296","36,014,119,114"
156691,"81,818,613,944",2022,"2,592,551,465","6,806,481,075"
128412,"130,692,791,177",2022,"23,184,322,386","25,226,251,200"
127200,"17,579,609,175",2022,"16,282,037,403","24,450,805,580"
145163,"32,982,274,160",2022,"8,873,366,509","5,968,957,598"
153126,"635,811,691,855",2022,"38,440,307,559","39,811,042,495"
155531,"178,221,821,848",2022,"80,160,431,979","88,055,476,053"
143794,"26,002,568,470",2022,"3,400,937,500","7,691,933,502"
111421,"159,788,538,743",2022,"12,661,325,441","13,022,727,799"
113535,"2,706,138,104,863",2022,"267,671,830,651","184,983,722,550"
145552,"782,591,483,389",2022,"35,990,535,226","32,909,588,468"
118026,"4,152,704,107,718",2022,"494,432,749,962","405,754,467,887"
126779,"150,214,354,677",2022,"22,571,051,710","21,047,030,875"
159254,"123,768,339,272",2022,"30,029,847,771","31,896,632,206"
108977,"238,926,889,458",2022,"-16,303,455,665","-18,433,021,662"
159810,"275,602,853,303",2022,"-122,282,523,566","-177,047,403,644"
260383,"333,880,102,156",2022,"-214,640,345,650","-204,385,808,134"
141404,"67,139,875,786",2022,"7,804,011,246","10,009,646,618"
122898,"299,532,316,523",2022,"18,828,034,737","15,539,807,487"
124090,"348,575,828,632",2022,"30,699,585,427","32,334,910,921"
130091,"138,655,949,073",2022,"10,335,490,908","14,191,541,151"
104388,"640,905,700,204",2022,"96,930,520,486","97,677,168,367"
152686,"541,835,924,394",2022,"99,194,841,606","99,531,662,792"
154329,"519,858,775,950",2022,"68,441,024,827","31,607,745,595"
137252,"250,702,675,272",2022,"15,251,124,105","-2,691,294,414"
131692,"456,694,418,262",2022,"61,977,343,251","51,945,894,785"
145260,"319,324,397,285",2022,"-4,622,788,865","-5,652,089,074"
103042,"371,680,925,896",2022,"37,534,026,539","30,673,744,913"
138260,"365,415,682,268",2022,"118,946,231,131","95,618,433,988"
136864,"284,616,541,652",2022,"33,368,554,911","25,473,676,434"
103592,"384,977,525,142",2022,"38,244,441,686","36,290,716,419"
153621,"653,553,594,852",2022,"1,308,108,163","2,510,062,719"
162586,"45,194,772,072",2022,"1,505,787,596","1,929,429,576"
159971,"534,872,842,836",2022,"13,566,515,116","-3,555,368,377"
151128,"33,436,780,037",2022,"13,782,733,618","28,900,103,260"
160205,"105,655,719,304",2022,"10,520,196,988","1,037,986,567"
102858,"2,866,186,242,426",2022,"919,171,130,822","881,480,750,499"
141273,"22,410,292,079",2022,"2,559,154,200","-5,027,218,767"
155124,"435,879,831,455",2022,"3,604,505,748","-12,610,658,612"
139764,"83,739,059,135",2022,"-23,533,540,970","-22,814,475,314"
129013,"67,719,807,379",2022,"4,135,027,843","6,675,009,145"
137207,"295,710,101,541",2022,"3,268,803,035","-2,473,082,608"
138297,"639,377,000,000",2022,"-1,955,000,000","-19,571,000,000"
136271,"366,385,474,629",2022,"21,021,027,961","47,492,815,899"
163345,"129,333,891,166",2022,"23,608,623,380","11,069,816,097"
141477,"337,528,199,498",2022,"4,226,983,642","-2,245,507,060"
172291,"394,392,969,092",2022,"45,533,613,298","31,255,042,674"
173102,"20,179,158,794",2022,"2,895,379,738","2,891,923,591"
146232,"292,815,448,269",2022,"2,722,459,268","4,847,386,052"
117179,"356,698,974,017",2022,"32,920,856,088","14,873,303,263"
140779,"22,013,068,492",2022,"4,973,486,413","7,495,671,345"
105156,"147,759,136,082",2022,"30,590,826,516","26,370,746,670"
124780,"111,544,268,866",2022,"13,584,493,320","10,414,123,965"
132637,"722,040,384,353",2022,"91,839,427,774","78,694,794,137"
112679,"95,831,169,725",2022,"49,857,119,260","56,997,948,957"
153339,"204,202,010,453",2022,"54,916,688,892","40,219,504,737"
113614,"54,998,741,748",2022,"30,195,181,973","31,995,216,431"
161976,"1,205,446,231,945",2022,"192,868,855,902","100,275,158,654"
166573,"35,446,435,977",2022,"29,810,419,721","29,808,164,082"
108940,"786,541,938,665",2022,"6,984,420,659","13,922,485,247"
119672,"263,998,120,328",2022,"13,299,644,433","12,841,545,754"
