회사명,corp_code,stock_code,연도,ESG,자산총계,자산총계(t-1),매출액,매출액(t-1),부채총계,EBITDA,EBITDA(t-1),무형자산,현금 배당 성향,현금 배당 성향(t-1),사외이사 비율,최대주주지분율,영업활동 현금흐름,정규직 수,정규직 수(t-1),비정규직 수,비정규직 수(t-1)
LG생활건강,00356370,051900,2022,A,7302929652203.0,7555239417717.0,7185759184335.0,8091511297961.0,1834093663954.0,417769360752.0,1187364858585.0,2100587252176.0,28.4,23.8,57.14285714285714,34.03,497299483100.0,3127.0,3122.0,43.0,8.0
케이티스카이라이프,00349097,053210,2022,A,1361298311421.0,1275644844175.0,1034236194565.0,763222599361.0,503764190486.0,33430748587.0,81899491281.0,489822787164.0,74.5,27.7,29.411764705882355,50.00,176406899582.0,379.0,373.0,0.0,0.0
한미글로벌,00413523,053690,2022,B+,373059659521.0,285254341255.0,374414323849.0,270091694797.0,178412243082.0,32693557928.0,20842434273.0,34832523744.0,23.9,29.3,22.22222222222222,24.70,21232660023.0,606.0,552.0,471.0,450.0
현대홈쇼핑,00412597,057050,2022,A,2782027992185.0,2600338275866.0,2101667569062.0,2095383848823.0,823288672056.0,96757694526.0,178229661314.0,105492327463.0,34.5,27.0,57.14285714285714,40.82,-53908637489.0,1022.0,982.0,26.0,29.0
KTcs,00372882,058850,2022,A,416146080400.0,416750372360.0,1029466970045.0,965721215198.0,224569291252.0,23777866394.0,22770966020.0,8496077597.0,25.2,21.1,18.75,30.31,19708133315.0,273.0,260.0,1060.0,2357.0
KTis,00372873,058860,2022,B+,396208069290.0,369360805550.0,535783305933.0,468004263986.0,199203706481.0,19862606504.0,32751539117.0,37913714177.0,23.1,13.0,18.75,29.32,13313277678.0,242.0,227.0,891.0,796.0
현대로템,00302926,064350,2022,A,4823869784000.0,4107182672000.0,3163343615000.0,2872511952000.0,3332399192000.0,103880637000.0,35281589000.0,78604058.0,,,57.14285714285714,33.77,716229388000.0,1699.0,1583.0,310.0,272.0
LG전자,00401731,066570,2022,A,55156141000000.0,53481478000000.0,83467318000000.0,73907984000000.0,32664144000000.0,2539811000000.0,3838896000000.0,37913714177.0,10.6,14.9,1.3559322033898304,33.67,3107839000000.0,1478.0,1439.0,1360.0,2468.0
SK렌터카,00201450,068400,2022,B+,3341970518606.0,2860204475518.0,1246513486761.0,1036879994810.0,2825634202145.0,30400993706.0,27003525318.0,24436737942.0,32.8,,15.789473684210526,72.95,-269410540010.0,572.0,562.0,80.0,85.0
현대백화점,00428251,069960,2022,A,12069249655000.0,8969196456000.0,5014123629000.0,3572433182000.0,5702018783000.0,246711565000.0,316861267000.0,1555415994.0,19.7,12.7,55.55555555555556,36.08,489391894000.0,3142.0,3082.0,0.0,0.0
