회사명,corp_code,stock_code,연도,ESG,재무제표,부채총계,영업이익,법인세차감전 순이익,intangible,ratio,pre_ratio,out_exec,share_holder,정규직 수,비정규직 수,시가총액,매출액,현금흐름
삼성에스디에스,00126186,018260,2022,A,"11,952,424,889,489","3,485,454,954,575","916,074,023,314","1,132,080,207,483",712748558757.0,22.51,30.37,57.14285714285714,56.77,3778.0,72.0,10344562591463.414,17234749537662,1289793206812.0
SK가스,00144164,018670,2022,A,"5,831,776,891,571","3,490,881,745,324","390,470,990,382","355,031,851,860",115721369373.0,22.7,18.4,11.428571428571429,72.35,562.0,52.0,1092170497365.8536,8066169118262,140057194054.0
한섬,00188089,020000,2022,B+,"1,684,715,498,594","348,223,076,669","168,315,660,882","161,773,696,909",92894175196.0,13.4,11.5,42.85714285714285,34.64,429.0,94.0,776185414634.1464,1542221683428,67223508983.0
코웨이,00170558,021240,2022,B+,"4,365,074,875,331","2,053,106,158,533","677,378,551,681","683,308,004,068",195372523885.0,20.6,19.5,62.5,25.11,6305.0,137.0,4720745628545.122,3856132895084,164458234709.0
롯데쇼핑,00120526,023530,2022,A,"31,703,575,873,070","20,668,459,087,068","386,225,594,610","-567,342,307,033",253944751840.0,,,55.55555555555556,61.18,20668.0,55.0,2618158773731.7075,15476035656554,1627838230821.0
한솔홈데코,00203582,025750,2022,B,"319,496,520,639","166,074,493,275","2,714,713,037","-6,157,071,692",4641869101.0,,29.51,28.57142857142857,23.46,298.0,5.0,114983497654.49594,283414199451,3870232422.0
BGF,00219097,027410,2022,B+,"1,938,013,970,903","201,490,551,514","61,203,792,653","38,895,385,596",177739416335.0,44.6,16.1,40.0,69.70,50.0,6.0,428159493497.37805,434997439995,207458308.0
삼성엔지니어링,00126308,028050,2022,A,"7,848,723,222,714","5,271,682,815,759","702,942,994,188","715,715,164,329",75000951895.0,,,66.66666666666666,20.60,1109.0,1543.0,4600382926829.269,10054344625186,576706460947.0
삼성물산,00149655,028260,2022,A,"58,981,492,466,950","27,017,371,086,433","2,528,524,413,589","3,334,546,525,257",6667163509633.0,18.4,42.4,55.55555555555556,33.45,3691.0,499.0,21455168691306.91,43161653399535,2618286420045.0
신세계인터내셔날,00234412,031430,2022,B+,"1,278,681,814,634","445,005,786,973","115,270,511,523","136,726,798,870",70127219041.0,15.03,12.96,15.789473684210526,54.05,1218.0,119.0,1027652073170.7316,1553877316519,109993406077.0
신세계푸드,00274933,031440,2022,B,"903,927,240,057","611,858,315,900","20,577,349,768","-4,859,422,816",48343308223.0,-53.9,120.2,50.0,55.55,3766.0,127.0,244632904747.96747,1411305169297,20931757528.0
LG유플러스,00231363,032640,2022,A,"19,774,800,000,000","11,325,133,000,000","1,081,260,000,000","856,812,000,000",2341729.0,42.14,33.35,5.128205128205128,37.67,10263.0,170.0,5536800007217.886,13905990000000,3504980000000.0
케이티앤지,00244455,033780,2022,A,"12,301,715,783,797","2,943,135,752,405","1,267,649,967,727","1,429,519,571,832",167851437108.0,57.2,58.9,11.76470588235294,8.51,437.0,312.0,11640394587107.316,5851406367817,887886606991.0
강원랜드,00255619,035250,2022,A,"4,167,752,670,696","752,374,769,957","217,565,214,200","167,851,826,370",2761161108.0,61.4,,69.23076923076923,36.27,2344.0,953.0,5481051248780.488,1270685819109,420172245612.0
카카오,00258801,035720,2022,A,"22,963,491,575,614","9,431,629,284,734","580,315,993,061","1,304,363,372,795",6022351854665.0,1.9,1.7,66.66666666666666,24.19,3681.0,220.0,34005107130010.57,7106836860945,678376491408.0
엔씨소프트,00261443,036570,2022,A,"4,437,632,450,781","1,239,083,608,249","559,006,120,606","609,050,943,296",43399092553.0,31.1,30.0,71.42857142857143,11.99,2243.0,400.0,9472268053081.3,2571792281800,736014155699.0
팜스코,00260408,036580,2022,B,"1,223,174,230,326","945,322,533,351","18,799,101,788","-37,585,486,981",1447649951.0,-5.3,113.8,15.789473684210526,56.58,419.0,2.0,199939605963.51627,1901506809713,-82145861904.0
광주신세계,00220561,037710,2022,B+,"913,454,051,041","123,544,314,603","65,584,851,127","76,860,199,739",37913714177.0,30.74,25.82,50.0,62.50,170.0,0.0,274213008130.0813,"184,874000000","68,461,739,719"
KSS해운,00160232,044450,2022,B+,"1,659,172,643,001","1,252,892,414,726","69,511,091,603","46,647,231,356",819320909.0,17.38,14.02,57.14285714285714,30.27,463.0,5.0,244129790159.3496,445375789707,112623502864.0
대우건설,00124540,047040,2022,B+,"11,140,353,752,210","7,415,736,590,714","760,006,514,642","713,497,588,646",69732719842.0,,,4.854368932038835,0.0,2375.0,2167.0,2301231586643.4146,10419213132139,-423144221731.0
한국항공우주,00309503,047810,2022,B,"7,772,406,693,424","6,319,189,867,558","141,617,667,318","122,121,929,956",745840951492.0,20.6,30.5,8.571428571428571,26.41,1381.0,869.0,4546441073018.902,2786888282702,1492635299719.0
LG생활건강,00356370,051900,2022,A,"7,302,929,652,203","1,834,093,663,954","711,122,934,369","417,769,360,752",2100587252176.0,28.4,23.8,57.14285714285714,34.03,3127.0,43.0,11887606529593.496,7185759184335,497299483100.0
케이티스카이라이프,00349097,053210,2022,A,"1,361,298,311,421","503,764,190,486","63,195,741,120","33,430,748,587",489822787164.0,74.5,27.7,29.411764705882355,50.00,379.0,0.0,416371861289.0244,1034236194565,176406899582.0
한미글로벌,00413523,053690,2022,B+,"373,059,659,521","178,412,243,082","30,651,133,401","32,693,557,928",34832523744.0,23.9,29.3,22.22222222222222,24.70,606.0,471.0,204960081892.27643,374414323849,21232660023.0
현대홈쇼핑,00412597,057050,2022,A,"2,782,027,992,185","823,288,672,056","110,640,961,829","96,757,694,526",105492327463.0,34.5,27.0,57.14285714285714,40.82,1022.0,26.0,651285365853.6586,2101667569062,-53908637489.0
KTcs,00372882,058850,2022,A,"416,146,080,400","224,569,291,252","24,326,774,606","23,777,866,394",8496077597.0,25.2,21.1,18.75,30.31,273.0,1060.0,96767415548.78049,1029466970045,19708133315.0
KTis,00372873,058860,2022,B+,"396,208,069,290","199,203,706,481","19,544,619,038","19,862,606,504",37913714177.0,23.1,13.0,18.75,29.32,242.0,891.0,88042693780.48781,"535,783,305,933","13,313,277,678"
현대로템,00302926,064350,2022,A,"4,823,869,784,000","3,332,399,192,000","147,486,669,000","103,880,637,000",78604058.0,,,57.14285714285714,33.77,1699.0,310.0,2499358509700.0,3163343615000,716229388000.0
LG전자,00401731,066570,2022,A,"55,156,141,000,000","32,664,144,000,000","3,550,972,000,000","2,539,811,000,000",37913714177.0,10.6,14.9,1.3559322033898304,33.67,1478.0,1360.0,16998018611978.049,83467318000000,3107839000000.0
SK렌터카,00201450,068400,2022,B+,"3,341,970,518,606","2,825,634,202,145","95,091,041,984","30,400,993,706",24436737942.0,32.8,,15.789473684210526,72.95,572.0,80.0,421282235004.87805,1246513486761,-269410540010.0
현대백화점,00428251,069960,2022,A,"12,069,249,655,000","5,702,018,783,000","320,928,734,000","246,711,565,000",1555415994.0,19.7,12.7,55.55555555555556,36.08,3142.0,0.0,1590728604444.3088,5014123629000,489391894000.0
지역난방공사,00159698,071320,2022,A+,"7,478,129,879,658","5,811,126,778,301","-403,893,693,760","-257,878,151,428",76916015909.0,,43.0,40.0,64.63,654.0,2.0,374737106627.6423,4173027136426,14612768938.0
롯데하이마트,00158307,071840,2022,A,"2,464,219,074,235","1,168,922,511,871","-52,011,444,171","-557,697,012,049",37913714177.0,,,27.77777777777778,65.39,2037.0,60.0,438949897105.69104,"3,336,821000000","56,516,992,767"
GS,00500254,078930,2022,A,"33,922,242,000,000","17,434,432,000,000","5,005,127,000,000","4,621,024,000,000",2029233.0,11.1,13.17,33.33333333333333,52.46,59.0,10.0,4048334350603.658,28777048000000,2735369000000.0
CJ CGV,00303873,079160,2022,B+,"3,601,468,386,488","3,208,379,045,793","-76,765,794,985","-237,643,036,305",167726522496.0,,,33.33333333333333,40.02,3636.0,865.0,938973406307.1138,1281306043785,107641702022.0
현대리바트,00300548,079430,2022,A,"854,159,330,447","415,626,223,927","-27,895,323,942","-65,968,450,334",27029294499.0,,14.9,20.0,41.20,776.0,37.0,246509365058.7805,1495701107465,-42667021064.0
LIG넥스원,00503668,079550,2022,A,"3,012,727,223,129","2,077,548,155,320","179,111,737,872","157,771,953,695",171498960486.0,26.6,24.9,9.30232558139535,47.05,1892.0,114.0,1789047154471.545,2220751868438,456521222995.0
휴비스,00362238,079980,2022,B+,"793,759,627,507","412,487,679,943","-83,009,289,041","-102,207,246,216",19816648037.0,,270.14,15.0,51.00,763.0,50.0,223219207317.0732,1021725981973,-31402933290.0
휠라홀딩스,00195229,081660,2022,B+,"4,821,801,377,788","2,247,238,042,986","435,072,372,234","453,137,117,071",1740937927075.0,27.62,25.55,33.33333333333333,21.65,43.0,6.0,1926104745664.634,4221750126628,-138674509037.0
HSD엔진,00361008,082740,2022,B+,"956,230,294,638","734,604,466,698","-29,534,217,363","-38,668,626,357",3448288018.0,,,25.0,33.53,764.0,11.0,464941610609.7561,764242847008,-21112695156.0
대상홀딩스,00539274,084690,2022,B+,"4,015,327,448,810","2,460,226,574,943","143,809,242,039","118,845,988,072",234278086130.0,31.1,16.6,16.666666666666664,67.3,44.0,2.0,307534242937.8049,5226659820074,-132878777757.0
현대글로비스,00360595,086280,2022,A,"13,877,784,500,296","6,998,172,212,338","1,798,516,596,130","1,597,421,189,524",104163670448.0,18.0,18.2,11.11111111111111,50.34,2107.0,240.0,6749009146341.464,26981880971123,1558795160495
노루페인트,00583442,090350,2022,A,"668,177,302,153","315,503,885,865","26,100,359,244","17,779,741,850",14113365687.0,48.7,39.0,11.76470588235294,51.91,752.0,16.0,195276422764.22763,753255209887,40149582402.0
