corp_code,부채총계,year
661847,"101,359,925,313",2022
119140,"667,856,104,059",2022
526599,"301,420,236,208",2022
110608,"162,383,840,472",2022
1010110,"229,338,873,566",2022
132354,"181,757,777,564",2022
1059605,"87,153,368,942",2022
1093007,"348,670,310,364",2022
225706,"112,609,682,935",2022
1167056,"122,931,700,907",2022
1205329,"137,897,080,146",2022
1261893,"57,327,965,096",2022
1267684,"222,383,617,986",2022
248974,"77,567,635,819",2022
1310269,"4,434,454,285,936",2022
367844,"1,230,633,742,673",2022
1412822,"542,937,434,917",2022
128111,"45,114,339,289",2022
141671,"107,886,928,424",2022
216647,"494,371,508,160",2022
238782,"44,437,568,870,718",2022
226352,"105,571,185,872",2022
171265,"1,826,356,918,264",2022
258689,"106,621,208,896",2022
247975,"507,496,360,946",2022
239639,"765,292,464,745",2022
260930,"576,891,434,654",2022
187415,"46,103,957,092",2022
280688,"72,765,479,775",2022
369170,"89,077,018,617",2022
306454,"67,070,004,996",2022
353610,"6,261,061,224",2022
228350,"80,450,118,167",2022
225742,"7,884,451,310",2022
364467,"104,063,881,260",2022
378628,"115,409,514,005",2022
245472,"63,669,414,182",2022
399694,"223,950,840,265",2022
405320,"72,507,694,485",2022
104573,"78,481,022,457",2022
476498,"576,012,278,314",2022
177816,"207,199,235,333",2022
531014,"87,311,770,380",2022
359395,"37,583,550,701",2022
490151,"184,546,399,465",2022
524421,"29,847,950,093",2022
525642,"146,394,637,797",2022
444329,"895,502,859,674",2022
613318,"186,584,445,794",2022
612294,"854,697,424,462",2022
888347,"200,328,493,261",2022
366137,"2,502,445,952,612",2022
1032404,"214,232,016,548",2022
1061327,"101,857,251,139",2022
970453,"106,399,144,494",2022
1067516,"216,364,672,317",2022
819073,"130,941,026,561",2022
1159853,"185,107,014,549",2022
1160363,"1,885,951,251,552",2022
1168684,"429,935,208,171",2022
1152470,"523,250,798,714",2022
1237540,"83,647,833,377",2022
1236532,"29,575,390,618",2022
897752,"423,815,482,608",2022
1256864,"115,667,312,852",2022
112378,"109,161,230,426",2022
101628,"493,309,854,178",2022
133335,"224,541,467,009",2022
126089,"431,957,816,260",2022
141307,"1,468,547,025,489",2022
104698,"748,565,972,243",2022
145686,"34,707,840,588",2022
123541,"64,936,220,688",2022
147222,"94,123,353,220",2022
159573,"73,948,278,772",2022
112970,"75,392,116,742",2022
120872,"25,657,000,048",2022
107066,"238,920,806,341",2022
126414,"15,324,892,000",2022
152039,"64,775,255,814",2022
101220,"3,741,042,484,468",2022
154055,"5,374,970,694",2022
125974,"329,646,601,364",2022
117337,"200,018,245,461",2022
118345,"381,086,723,056",2022
148948,"68,561,445,949",2022
148461,"11,951,004,596",2022
106119,"160,842,410,708",2022
114765,"373,187,013,643",2022
117027,"506,348,248,906",2022
129350,"62,021,312,212",2022
102751,"169,050,032,748",2022
116268,"64,892,797,809",2022
163196,"164,622,338,615",2022
122694,"144,032,362,262",2022
133618,"25,060,643,077",2022
127857,"260,906,132,649",2022
149345,"279,570,331,873",2022
141626,"21,764,271,008",2022
118451,"22,028,247,899",2022
173698,"70,989,812,664",2022
123107,"12,528,504,457",2022
150828,"227,013,990,002",2022
121932,"73,770,759,382",2022
149804,"1,136,743,952,904",2022
174004,"99,811,962,683",2022
106313,"1,147,826,599,507",2022
123718,"129,081,732,482",2022
146214,"48,852,889,219",2022
160621,"35,421,546,715",2022
154426,"158,843,224,641",2022
122348,"63,058,875,047",2022
122056,"36,181,495,521",2022
161860,"182,635,463,144",2022
133511,"58,390,585,798",2022
115287,"437,684,706,701",2022
108038,"182,861,269,823",2022
172185,"151,652,660,509",2022
134963,"534,689,000,000",2022
148939,"63,994,595,545",2022
135050,"110,275,883,209",2022
138057,"3,286,136,702",2022
114093,"41,762,767,242",2022
109514,"45,987,386,449",2022
127158,"41,507,587,354",2022
162063,"1,622,658,480,432",2022
135962,"157,356,040,716",2022
156488,"297,193,188,974",2022
124151,"209,526,117,492",2022
136341,"679,481,774,198",2022
109754,"179,629,163,370",2022
136624,"63,083,713,569",2022
115612,"998,112,147,136",2022
141875,"137,261,542,247",2022
260392,"154,359,646,720",2022
122825,"38,132,316,932",2022
109824,"91,462,722,734",2022
126201,"49,783,880,589",2022
136402,"146,219,644,364",2022
109161,"20,054,166,298",2022
146296,"60,940,446,850",2022
104786,"28,061,180,087",2022
146454,"206,331,142,487",2022
115384,"65,704,820,709",2022
131939,"71,539,960,318",2022
157104,"34,973,588,149",2022
145446,"242,273,569,536",2022
107224,"94,558,342,251",2022
121570,"39,013,430,441",2022
146542,"27,887,706,305",2022
104999,"172,118,972,213",2022
138516,"136,362,680",2022
168401,"173,724,375,999",2022
117629,"94,535,470,493",2022
102140,"4,422,682,389",2022
111111,"226,378,022,139",2022
111689,"65,582,625,898",2022
163761,"172,631,641,520",2022
129271,"50,062,914,992",2022
128227,"19,657,538,379",2022
143262,"18,022,750,569",2022
160375,"15,374,877,852",2022
166500,"32,602,283,746",2022
148522,"154,647,754,948",2022
128980,"63,537,093,441",2022
118521,"41,395,394,097",2022
129280,"51,007,477,621",2022
153524,"284,710,005,647",2022
124027,"52,615,151,179",2022
129554,"24,529,479,896",2022
160861,"72,824,106,640",2022
162072,"22,775,323,313",2022
145437,"40,888,846,326",2022
141413,"158,037,883,342",2022
102113,"282,098,495,707",2022
112651,"563,437,643,167",2022
102432,"1,757,274,727,927",2022
129420,"116,341,805,653",2022
156354,"282,988,578,972",2022
150633,"488,663,623,143",2022
129509,"302,592,347,580",2022
111458,"80,340,610,405",2022
105299,"646,587,484,981",2022
122481,"96,292,879,506",2022
132628,"25,167,616,319",2022
106881,"81,801,083,054",2022
134565,"34,487,215,492",2022
143314,"76,747,049,774",2022
108746,"82,860,308,311",2022
146649,"678,227,620,427",2022
135777,"227,229,978,192",2022
103662,"53,307,671,271",2022
135111,"123,182,486,960",2022
118008,"395,436,339,499",2022
138792,"12,739,695,840,901",2022
134316,"77,647,408,546",2022
191588,"62,909,269,440",2022
115065,"42,058,880,063",2022
103510,"400,688,873,530",2022
180795,"273,499,292,804",2022
121969,"65,251,157,568",2022
142865,"15,926,877,005",2022
177199,"41,595,073,602",2022
114154,"431,773,772,024",2022
191472,"181,591,489,347",2022
157070,"419,492,218,914",2022
197759,"41,043,553,919",2022
136776,"6,805,876,091",2022
123781,"27,614,064,056",2022
144395,"82,302,460,449",2022
204208,"125,649,244,999",2022
178754,"150,642,232,281",2022
135795,"84,787,666,360",2022
118044,"59,216,320,085",2022
273615,"89,909,718,122",2022
186559,"358,528,267,719",2022
218575,"108,492,130,789",2022
193009,"766,469,146,287",2022
146861,"162,630,931,615",2022
125576,"47,279,163,828",2022
145862,"223,143,901,928",2022
122551,"158,716,154,786",2022
249247,"81,946,724,778",2022
161383,"65,336,210,199",2022
269241,"11,699,001,969",2022
347734,"9,828,095,608",2022
422895,"109,458,880,496",2022
423690,"35,896,218,317",2022
427483,"822,117,616,379",2022
357360,"186,180,876,919",2022
151298,"76,302,600,310",2022
365989,"490,578,387,042",2022
416654,"7,242,894,540",2022
469799,"55,540,873,039",2022
305668,"26,237,446,966",2022
415628,"342,503,861,017",2022
361488,"20,552,807,021",2022
508274,"71,340,431,456",2022
540605,"185,352,588,241",2022
172228,"57,514,392,119",2022
557933,"25,027,285,482",2022
442835,"11,129,379,056",2022
585219,"115,300,760,586",2022
112165,"504,681,102,341",2022
106614,"14,831,931,489",2022
441243,"41,486,677,550",2022
646732,"194,455,945,015",2022
652423,"37,399,819,172",2022
681142,"29,093,372,709",2022
683469,"494,610,873,687",2022
706715,"229,582,717,353",2022
226316,"180,582,898,935",2022
561866,"106,428,102,752",2022
797364,"266,719,036,966",2022
796994,"9,248,179,273",2022
828789,"1,197,506,140,662",2022
855163,"15,155,439,398",2022
852087,"21,635,673,445",2022
415646,"323,702,374,400",2022
332927,"278,290,251,740",2022
105606,"100,833,283,251",2022
816544,"101,679,024,921",2022
1234297,"96,877,962,047",2022
1236897,"301,294,319,644",2022
1262458,"96,570,089,934",2022
651901,"1,101,224,121,714",2022
128546,"127,634,262,627",2022
130383,"1,248,905,018,191",2022
117276,"36,862,832,477",2022
137915,"39,615,250,918",2022
141246,"727,213,982,033",2022
105466,"747,474,269,742",2022
184667,"1,092,825,611,169",2022
173032,"1,074,761,149,038",2022
197476,"37,731,210,189",2022
158219,"61,897,064,699",2022
155948,"571,242,059,846",2022
227333,"739,611,151,367",2022
264547,"847,320,423,017",2022
301246,"190,956,704,120",2022
141389,"71,656,711,563",2022
265041,"24,943,833,965",2022
246417,"76,752,866,702",2022
263654,"21,914,692,257",2022
230425,"5,627,996,929",2022
405278,"157,786,435,557",2022
313649,"9,091,422,389",2022
369657,"38,304,546,606",2022
375931,"208,374,441,965",2022
523307,"467,395,937,130",2022
541349,"242,938,002,116",2022
525679,"955,071,931,840",2022
114808,"237,265,679,685",2022
580199,"162,672,839,659",2022
556907,"311,712,410,525",2022
181299,"150,973,300,609",2022
545734,"259,874,018,775",2022
545929,"107,873,145,205",2022
411048,"36,358,827,310",2022
530185,"270,602,941,282",2022
693554,"483,514,905,473",2022
623661,"137,651,227,352",2022
808022,"27,781,788,650",2022
842619,"32,931,523,513",2022
838005,"845,244,135,390",2022
989619,"100,108,123,094",2022
1074862,"471,008,859,752",2022
1078178,"165,491,087,870",2022
1090471,"303,962,068,566",2022
1029394,"96,124,869,385",2022
1336373,"75,364,585,732",2022
1182444,"74,250,173,411",2022
1181515,"91,903,982,601",2022
104519,"66,871,513,556",2022
107677,"104,480,645,980",2022
167208,"181,755,200,200",2022
150439,"31,490,483,064",2022
132868,"101,656,694,244",2022
134176,"4,030,128,778",2022
159564,"18,273,216,705",2022
480950,"384,426,714,358",2022
458234,"45,626,559,675",2022
110750,"15,286,814,533",2022
161781,"1,224,152,226,029",2022
306162,"5,452,931,988,622",2022
788773,"240,498,582,648",2022
1061558,"41,206,237,089",2022
536523,"46,536,515,025",2022
106641,"31,937,441,000,000",2021
138279,"11,705,193,000,000",2021
155355,"1,379,581,562,516",2021
190321,"20,592,180,000,000",2021
181712,"99,815,712,000,000",2021
266961,"9,663,630,407,765",2021
124504,"7,258,594,219,000",2021
631518,"29,924,245,706,000",2021
113410,"4,977,570,577,451",2021
117212,"17,535,706,719,844",2021
109693,"3,793,988,663,859",2021
146083,"737,422,939,881",2021
160047,"345,760,552,275",2021
113508,"472,000,054,543",2021
116824,"706,347,761,608",2021
164779,"34,155,467,000,000",2021
164478,"10,207,973,000,000",2021
160588,"181,483,049,000,000",2021
160843,"443,888,189,808",2021
148540,"25,492,465,688,000",2021
120076,"4,362,644,678,498",2021
113207,"1,033,109,826,000",2021
121941,"1,623,307,568,831",2021
131780,"7,021,921,000,000",2021
117577,"1,090,941,456,912",2021
163512,"2,503,649,583,464",2021
161046,"457,565,420,779",2021
154462,"1,562,518,153,844",2021
117230,"458,227,292,748",2021
126955,"357,388,870,699",2021
138224,"1,909,294,816,425",2021
113526,"19,806,214,028,703",2021
120021,"3,729,575,000,000",2021
157681,"524,823,793,150",2021
145880,"18,781,894,205,821",2021
171636,"104,432,487,000",2021
136378,"7,882,059,338,197",2021
125743,"271,019,166,550",2021
157399,"510,394,100,444",2021
117188,"2,265,599,709,955",2021
120562,"10,292,586,180,274",2021
124726,"202,369,499,606",2021
120571,"2,151,774,423,248",2021
164742,"151,330,626,000,000",2021
131832,"3,812,564,886,737",2021
105952,"7,915,665,000,000",2021
120030,"10,311,003,421,948",2021
126362,"10,636,493,682,081",2021
140177,"5,041,586,937,987",2021
141529,"1,067,386,662,130",2021
109189,"351,055,476,398",2021
165680,"2,079,545,237,446",2021
161426,"259,599,611,967",2021
126371,"3,070,248,395,636",2021
136086,"1,637,863,898,251",2021
161693,"624,662,475,163",2021
119007,"864,649,854,673",2021
162461,"11,806,325,074,949",2021
140964,"1,170,497,824,939",2021
148896,"2,580,268,702,000",2021
105855,"1,323,312,292,962",2021
103626,"59,666,914,830",2021
164609,"1,674,021,487,000",2021
105961,"4,427,146,647,365",2021
165413,"7,415,917,897,738",2021
164645,"7,517,806,000,000",2021
